                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.99817,                0.97993,                 1.3031,                0.82869,                0.82621,                 0.8636,                0.66873,                0.92678,                 0.6534,                 1.0575,              0.0003755,              0.0003755,              0.0003755
                    108,                0.96991,                0.96722,                 1.2866,                 0.9398,                0.84567,                0.94712,                0.73591,                0.97335,                0.56553,                 1.0718,             0.00036725,             0.00036725,             0.00036725
                    109,                0.96934,                0.96017,                 1.2813,                0.77916,                0.71126,                0.77148,                0.59146,                 1.0077,                0.86263,                 1.1144,               0.000359,               0.000359,               0.000359
                    110,                0.99312,                0.98191,                 1.3007,                0.84647,                0.71894,                0.81972,                 0.6388,                0.96163,                0.73645,                   1.09,             0.00035075,             0.00035075,             0.00035075
                    111,                0.98471,                0.96938,                 1.3025,                0.95429,                 0.8823,                0.96025,                0.74858,                0.97939,                 0.5634,                 1.0769,              0.0003425,              0.0003425,              0.0003425
                    112,                0.98003,                0.96872,                 1.3004,                 0.7117,                 0.6644,                0.72963,                0.54939,                  1.042,                 0.9476,                  1.126,             0.00033425,             0.00033425,             0.00033425
                    113,                0.97318,                0.95607,                  1.282,                0.78328,                0.58052,                0.66377,                0.49864,                  1.072,                 1.1321,                 1.1541,               0.000326,               0.000326,               0.000326
                    114,                0.96296,                0.95876,                 1.2844,                0.80086,                0.75314,                0.81281,                0.63561,                 0.9899,                0.77179,                 1.1013,             0.00031775,             0.00031775,             0.00031775
                    115,                0.96572,                0.93561,                 1.2727,                0.95337,                 0.9091,                0.96182,                0.76511,                  0.954,                0.53197,                   1.07,              0.0003095,              0.0003095,              0.0003095
                    116,                0.96743,                 0.9472,                 1.2848,                0.78881,                0.67327,                0.75599,                0.57751,                0.99993,                0.91914,                 1.1054,             0.00030125,             0.00030125,             0.00030125
                    117,                0.95476,                0.94407,                 1.2767,                 0.7614,                 0.6952,                0.75085,                0.57086,                 1.0293,                0.96701,                 1.1188,               0.000293,               0.000293,               0.000293
                    118,                0.95872,                0.93378,                 1.2761,                0.94941,                0.92943,                0.97366,                0.76988,                0.97402,                0.54932,                 1.0706,             0.00028475,             0.00028475,             0.00028475
                    119,                0.93587,                0.92291,                 1.2569,                0.85134,                0.76507,                0.83553,                0.65424,                0.94668,                0.72324,                 1.0751,              0.0002765,              0.0002765,              0.0002765
                    120,                0.96038,                0.92537,                 1.2798,                0.76654,                0.76963,                0.79158,                0.60435,                 0.9757,                0.79934,                 1.0895,             0.00026825,             0.00026825,             0.00026825
                    121,                0.94795,                0.91548,                 1.2793,                0.91012,                0.76707,                0.86669,                0.67171,                0.94334,                0.67423,                 1.0589,                0.00026,                0.00026,                0.00026
