                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.76571,                 1.0076,                0.42814,                 0.9048,                0.98425,                0.97672,                0.99021,                0.81815,                0.98425,                0.97672,                0.98806,                0.62177,                0.73821,                 1.0237,                0.38171,                 0.9194,               0.000557,               0.000557,               0.000557
                     86,                0.77704,                 1.0181,                 0.4292,                0.90821,                0.98975,                0.98277,                 0.9898,                0.81983,                0.98645,                0.97947,                0.98765,                0.63883,                0.75903,                 1.0079,                0.37836,                0.92879,             0.00054875,             0.00054875,             0.00054875
                     87,                0.75479,                 1.0013,                0.42281,                0.90574,                0.98016,                0.97889,                0.99022,                0.81595,                0.98389,                0.96352,                0.98421,                0.62608,                0.76352,                 1.0524,                0.39443,                0.92762,              0.0005405,              0.0005405,              0.0005405
                     88,                0.72709,                0.96418,                0.41532,                0.89478,                0.98201,                0.97903,                0.99142,                 0.8076,                0.98089,                0.97696,                0.98682,                0.61995,                0.77653,                 1.0239,                0.38554,                0.94398,             0.00053225,             0.00053225,             0.00053225
                     89,                0.75584,                  1.003,                0.42511,                 0.9011,                0.98325,                0.98156,                0.99064,                0.81117,                0.97668,                0.97506,                0.98485,                0.61738,                0.76347,                 1.0445,                0.38438,                0.92737,               0.000524,               0.000524,               0.000524
                     90,                 0.7508,                 0.9903,                0.41539,                0.89961,                  0.972,                0.98771,                0.99013,                0.81263,                 0.9699,                0.98563,                0.98828,                 0.6182,                0.75359,                 1.0112,                0.38169,                0.92702,             0.00051575,             0.00051575,             0.00051575
                     91,                0.75219,                0.98284,                0.42316,                 0.9034,                0.98662,                0.97991,                0.99061,                0.81024,                0.97656,                0.96998,                0.98276,                0.60281,                0.78454,                 1.0316,                0.39394,                0.94147,              0.0005075,              0.0005075,              0.0005075
                     92,                0.76136,                 0.9938,                0.41774,                  0.907,                0.97313,                0.98523,                0.98972,                0.82139,                0.97741,                 0.9758,                0.97974,                0.62309,                0.76544,                 0.9941,                0.37575,                0.93366,             0.00049925,             0.00049925,             0.00049925
                     93,                0.73426,                0.97138,                0.41198,                 0.8954,                 0.9893,                0.98422,                0.99074,                0.81737,                 0.9856,                0.98054,                0.98685,                0.63995,                0.73526,                0.97953,                0.37351,                0.91921,               0.000491,               0.000491,               0.000491
                     94,                0.72618,                0.95232,                0.40317,                0.89242,                0.99193,                0.98305,                0.99386,                0.81575,                0.98871,                0.97922,                0.98997,                0.62931,                0.73892,                 0.9884,                0.36149,                0.92131,             0.00048275,             0.00048275,             0.00048275
                     95,                0.72933,                0.94765,                0.40114,                0.89542,                0.98946,                0.98364,                0.99047,                0.82772,                0.98946,                0.98364,                0.98885,                0.64314,                0.72919,                0.98419,                0.37106,                0.91801,              0.0004745,              0.0004745,              0.0004745
